LINEA;FRANJA HORARIA;SERV. X HORA
521;00:00 - 01:00;1
521;01:00 - 02:00;1
521;02:00 - 03:00;1
521;03:00 - 04:00;1
521;04:00 - 05:00;2
521;05:00 - 06:00;4
521;06:00 - 07:00;4
521;07:00 - 08:00;4
521;08:00 - 09:00;4
521;09:00 - 10:00;4
521;10:00 - 11:00;4
521;11:00 - 12:00;4
521;12:00 - 13:00;4
521;13:00 - 14:00;4
521;14:00 - 15:00;3
521;15:00 - 16:00;3
521;16:00 - 17:00;4
521;17:00 - 18:00;4
521;18:00 - 19:00;4
521;19:00 - 20:00;4
521;20:00 - 21:00;4
521;21:00 - 22:00;3
521;22:00 - 23:00;2
521;23:00 - 24:00;2
523;00:00 - 01:00;1
523;01:00 - 02:00;1
523;02:00 - 03:00;1
523;03:00 - 04:00;1
523;04:00 - 05:00;1
523;05:00 - 06:00;4
523;06:00 - 07:00;5
523;07:00 - 08:00;5
523;08:00 - 09:00;5
523;09:00 - 10:00;5
523;10:00 - 11:00;5
523;11:00 - 12:00;5
523;12:00 - 13:00;5
523;13:00 - 14:00;5
523;14:00 - 15:00;5
523;15:00 - 16:00;5
523;16:00 - 17:00;5
523;17:00 - 18:00;5
523;18:00 - 19:00;4
523;19:00 - 20:00;4
523;20:00 - 21:00;4
523;21:00 - 22:00;4
523;22:00 - 23:00;3
523;23:00 - 24:00;2
525;00:00 - 01:00;1
525;01:00 - 02:00;1
525;02:00 - 03:00;1
525;03:00 - 04:00;1
525;04:00 - 05:00;2
525;05:00 - 06:00;2
525;06:00 - 07:00;3
525;07:00 - 08:00;3
525;08:00 - 09:00;2
525;09:00 - 10:00;2
525;10:00 - 11:00;2
525;11:00 - 12:00;2
525;12:00 - 13:00;2
525;13:00 - 14:00;2
525;14:00 - 15:00;2
525;15:00 - 16:00;2
525;16:00 - 17:00;2
525;17:00 - 18:00;2
525;18:00 - 19:00;2
525;19:00 - 20:00;2
525;20:00 - 21:00;2
525;21:00 - 22:00;2
525;22:00 - 23:00;2
525;23:00 - 24:00;1
531;00:00 - 01:00;1
531;01:00 - 02:00;1
531;02:00 - 03:00;1
531;03:00 - 04:00;1
531;04:00 - 05:00;1
531;05:00 - 06:00;3
531;06:00 - 07:00;4
531;07:00 - 08:00;6
531;08:00 - 09:00;5
531;09:00 - 10:00;5
531;10:00 - 11:00;5
531;11:00 - 12:00;5
531;12:00 - 13:00;6
531;13:00 - 14:00;6
531;14:00 - 15:00;5
531;15:00 - 16:00;5
531;16:00 - 17:00;5
531;17:00 - 18:00;6
531;18:00 - 19:00;6
531;19:00 - 20:00;6
531;20:00 - 21:00;5
531;21:00 - 22:00;5
531;22:00 - 23:00;2
531;23:00 - 24:00;2
532;00:00 - 01:00;1
532;01:00 - 02:00;1
532;02:00 - 03:00;0
532;03:00 - 04:00;0
532;04:00 - 05:00;2
532;05:00 - 06:00;2
532;06:00 - 07:00;3
532;07:00 - 08:00;5
532;08:00 - 09:00;5
532;09:00 - 10:00;5
532;10:00 - 11:00;4
532;11:00 - 12:00;4
532;12:00 - 13:00;4
532;13:00 - 14:00;4
532;14:00 - 15:00;5
532;15:00 - 16:00;5
532;16:00 - 17:00;5
532;17:00 - 18:00;5
532;18:00 - 19:00;5
532;19:00 - 20:00;5
532;20:00 - 21:00;4
532;21:00 - 22:00;4
532;22:00 - 23:00;1
532;23:00 - 24:00;1
533 A;00:00 - 01:00;0
533 A;01:00 - 02:00;0
533 A;02:00 - 03:00;0
533 A;03:00 - 04:00;0
533 A;04:00 - 05:00;1
533 A;05:00 - 06:00;2
533 A;06:00 - 07:00;2
533 A;07:00 - 08:00;2
533 A;08:00 - 09:00;2
533 A;09:00 - 10:00;2
533 A;10:00 - 11:00;2
533 A;11:00 - 12:00;2
533 A;12:00 - 13:00;2
533 A;13:00 - 14:00;2
533 A;14:00 - 15:00;2
533 A;15:00 - 16:00;2
533 A;16:00 - 17:00;2
533 A;17:00 - 18:00;2
533 A;18:00 - 19:00;2
533 A;19:00 - 20:00;1
533 A;20:00 - 21:00;1
533 A;21:00 - 22:00;1
533 A;22:00 - 23:00;1
533 A;23:00 - 24:00;1
533 B;00:00 - 01:00;1
533 B;01:00 - 02:00;1
533 B;02:00 - 03:00;1
533 B;03:00 - 04:00;1
533 B;04:00 - 05:00;2
533 B;05:00 - 06:00;3
533 B;06:00 - 07:00;3
533 B;07:00 - 08:00;3
533 B;08:00 - 09:00;3
533 B;09:00 - 10:00;3
533 B;10:00 - 11:00;3
533 B;11:00 - 12:00;2
533 B;12:00 - 13:00;3
533 B;13:00 - 14:00;3
533 B;14:00 - 15:00;2
533 B;15:00 - 16:00;3
533 B;16:00 - 17:00;3
533 B;17:00 - 18:00;3
533 B;18:00 - 19:00;3
533 B;19:00 - 20:00;3
533 B;20:00 - 21:00;3
533 B;21:00 - 22:00;3
533 B;22:00 - 23:00;3
533 B;23:00 - 24:00;2
551;00:00 - 01:00;1
551;01:00 - 02:00;1
551;02:00 - 03:00;1
551;03:00 - 04:00;1
551;04:00 - 05:00;1
551;05:00 - 06:00;3
551;06:00 - 07:00;4
551;07:00 - 08:00;5
551;08:00 - 09:00;4
551;09:00 - 10:00;4
551;10:00 - 11:00;4
551;11:00 - 12:00;5
551;12:00 - 13:00;5
551;13:00 - 14:00;6
551;14:00 - 15:00;4
551;15:00 - 16:00;4
551;16:00 - 17:00;5
551;17:00 - 18:00;6
551;18:00 - 19:00;6
551;19:00 - 20:00;5
551;20:00 - 21:00;4
551;21:00 - 22:00;4
551;22:00 - 23:00;3
551;23:00 - 24:00;3
552;00:00 - 01:00;1
552;01:00 - 02:00;1
552;02:00 - 03:00;1
552;03:00 - 04:00;1
552;04:00 - 05:00;2
552;05:00 - 06:00;5
552;06:00 - 07:00;6
552;07:00 - 08:00;6
552;08:00 - 09:00;6
552;09:00 - 10:00;5
552;10:00 - 11:00;5
552;11:00 - 12:00;6
552;12:00 - 13:00;6
552;13:00 - 14:00;5
552;14:00 - 15:00;5
552;15:00 - 16:00;5
552;16:00 - 17:00;6
552;17:00 - 18:00;6
552;18:00 - 19:00;6
552;19:00 - 20:00;5
552;20:00 - 21:00;5
552;21:00 - 22:00;4
552;22:00 - 23:00;3
552;23:00 - 24:00;3
553;00:00 - 01:00;1
553;01:00 - 02:00;1
553;02:00 - 03:00;1
