Hora/Linea;511;512;512 B;717;717 Esc;521;522;523;525;531;532;533;541;542;543;551;552;553;554;555;562;563;571;573;581;591;593 C;593 P;715;720;501
00:00 a 01:00;1;0;1;0;0;1;1;1;1;1;1;1;1;2;1;1;1;1;1;1;1;2;1;1;0;1;0;0;1;1;0
01:00 a 02:00;1;0;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;1;1;0;1;0;1;0;1;0
02:00 a 03:00;1;0;1;0;0;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;0;1;0;1;0
03:00 a 04:00;1;0;1;1;0;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;2;1;1;1;0;1;0;1;0
04:00 a 05:00;4;0;1;1;0;2;1;1;2;1;2;3;1;2;1;1;2;1;1;1;2;2;4;2;1;1;2;1;1;2;1
05:00 a 06:00;6;1;4;2;0;4;3;4;2;3;2;5;4;3;3;3;5;3;3;3;5;4;5;4;3;5;2;2;2;3;1
06:00 a 07:00;8;3;5;5;0;4;4;5;3;4;3;5;5;3;3;4;6;4;5;5;5;6;6;6;3;5;2;4;2;3;1
07:00 a 08:00;6;6;5;4;2;4;4;5;3;6;5;5;6;4;4;5;6;5;6;5;6;8;8;8;3;5;2;4;3;4;1
08:00 a 09:00;8;4;5;3;1;4;4;5;2;5;5;5;6;5;4;4;6;4;4;5;6;6;8;8;3;5;2;4;2;4;1
09:00 a 10:00;6;3;3;4;0;4;4;5;2;5;5;5;6;5;4;4;5;4;4;5;6;6;8;6;3;4;2;4;2;4;1
10:00 a 11:00;7;3;4;3;0;4;3;5;2;5;4;5;5;4;4;4;5;4;4;5;6;6;8;6;3;4;2;3;1;4;1
11:00 a 12:00;7;4;4;3;0;4;5;5;2;5;4;4;5;4;4;5;6;5;6;5;6;6;8;6;3;5;2;3;2;3;1
12:00 a 13:00;7;3;4;3;1;4;5;5;2;6;4;5;5;5;4;5;6;5;6;5;6;8;8;6;3;5;2;3;3;3;1
13:00 a 14:00;7;3;4;3;0;4;5;5;2;6;4;5;5;4;4;6;5;6;6;5;6;6;8;6;3;5;2;3;1;4;1
14:00 a 15:00;7;5;4;3;0;3;4;5;2;5;5;4;5;3;4;4;5;4;4;4;6;7;8;6;3;5;2;3;1;3;1
15:00 a 16:00;8;5;4;4;1;3;4;5;2;5;5;5;5;3;4;4;5;4;4;4;6;6;8;6;3;5;2;4;1;4;1
16:00 a 17:00;8;4;4;3;0;4;4;5;2;5;5;5;5;4;4;5;6;6;6;5;6;8;8;6;3;5;2;4;3;3;1
17:00 a 18:00;6;4;4;4;2;4;5;5;2;6;5;5;5;5;4;6;6;6;6;5;6;8;7;6;3;6;2;4;1;3;1
18:00 a 19:00;6;3;4;3;0;4;4;4;2;6;5;5;5;4;4;6;6;5;6;5;6;6;7;6;3;5;2;4;2;3;1
19:00 a 20:00;6;2;4;4;0;4;4;4;2;6;5;4;5;3;4;5;5;5;5;5;6;6;7;6;3;5;2;3;1;3;1
20:00 a 21:00;5;3;3;2;0;4;4;4;2;5;4;4;5;3;4;4;5;4;4;4;5;6;5;4;3;5;2;2;1;3;1
21:00 a 22:00;2;3;3;2;0;3;4;4;2;5;4;4;4;3;3;4;4;4;4;3;5;6;5;4;3;5;2;2;1;3;1
22:00 a 23:00;1;2;3;2;0;2;3;3;2;2;1;4;3;3;2;3;3;3;3;2;3;4;3;3;3;4;1;2;1;3;0
23:00 a 00:00;2;1;3;3;0;2;2;2;1;2;1;3;2;2;2;3;3;3;3;2;3;4;2;2;2;3;1;2;1;3;0
