trip_id,start_time,end_time,headway_secs,exact_times
t14,00:00:00,01:00:00,3600,0
t21,00:00:00,01:00:00,3600,0
t23,00:00:00,01:00:00,3600,0
t27,00:00:00,01:00:00,3600,0
t29,00:00:00,01:00:00,3600,0
t33,00:00:00,01:00:00,3600,0
t35,00:00:00,01:00:00,3600,0
t38,00:00:00,01:00:00,3600,0
t41,00:00:00,01:00:00,3600,0
t43,00:00:00,01:00:00,1800,0
t55,00:00:00,01:00:00,3600,0
t57,00:00:00,01:00:00,3600,0
t59,00:00:00,01:00:00,3600,0
t63,00:00:00,01:00:00,3600,0
t65,00:00:00,01:00:00,3600,0
t67,00:00:00,01:00:00,3600,0
t69,00:00:00,01:00:00,1800,0
t73,00:00:00,01:00:00,3600,0
t77,00:00:00,01:00:00,3600,0
t87,00:00:00,01:00:00,3600,0
t14,01:00:00,02:00:00,3600,0
t93,01:00:00,02:00:00,3600,0
t21,01:00:00,02:00:00,3600,0
t23,01:00:00,02:00:00,3600,0
t27,01:00:00,02:00:00,3600,0
t29,01:00:00,02:00:00,3600,0
t33,01:00:00,02:00:00,3600,0
t35,01:00:00,02:00:00,3600,0
t38,01:00:00,02:00:00,3600,0
t41,01:00:00,02:00:00,3600,0
t43,01:00:00,02:00:00,3600,0
t55,01:00:00,02:00:00,3600,0
t57,01:00:00,02:00:00,3600,0
t59,01:00:00,02:00:00,3600,0
t63,01:00:00,02:00:00,3600,0
t65,01:00:00,02:00:00,3600,0
t67,01:00:00,02:00:00,3600,0
t69,01:00:00,02:00:00,1800,0
t73,01:00:00,02:00:00,3600,0
t77,01:00:00,02:00:00,3600,0
t87,01:00:00,02:00:00,3600,0
t14,02:00:00,03:00:00,3600,0
t21,02:00:00,03:00:00,3600,0
t23,02:00:00,03:00:00,3600,0
t27,02:00:00,03:00:00,3600,0
t29,02:00:00,03:00:00,3600,0
t33,02:00:00,03:00:00,3600,0
t38,02:00:00,03:00:00,3600,0
t41,02:00:00,03:00:00,3600,0
t43,02:00:00,03:00:00,3600,0
t55,02:00:00,03:00:00,3600,0
t57,02:00:00,03:00:00,3600,0
t59,02:00:00,03:00:00,3600,0
t63,02:00:00,03:00:00,3600,0
t65,02:00:00,03:00:00,3600,0
t67,02:00:00,03:00:00,3600,0
t69,02:00:00,03:00:00,3600,0
t73,02:00:00,03:00:00,3600,0
t77,02:00:00,03:00:00,3600,0
t87,02:00:00,03:00:00,3600,0
t14,03:00:00,04:00:00,3600,0
t93,03:00:00,04:00:00,3600,0
t21,03:00:00,04:00:00,3600,0
t23,03:00:00,04:00:00,3600,0
t27,03:00:00,04:00:00,3600,0
t29,03:00:00,04:00:00,3600,0
t33,03:00:00,04:00:00,3600,0
t38,03:00:00,04:00:00,3600,0
t41,03:00:00,04:00:00,3600,0
t43,03:00:00,04:00:00,3600,0
t55,03:00:00,04:00:00,3600,0
t57,03:00:00,04:00:00,3600,0
t59,03:00:00,04:00:00,3600,0
t63,03:00:00,04:00:00,3600,0
t65,03:00:00,04:00:00,3600,0
t67,03:00:00,04:00:00,3600,0
t69,03:00:00,04:00:00,3600,0
t73,03:00:00,04:00:00,1800,0
t77,03:00:00,04:00:00,3600,0
t83,03:00:00,04:00:00,3600,0
t87,03:00:00,04:00:00,3600,0
t14,04:00:00,05:00:00,900,0
t93,04:00:00,05:00:00,3600,0
t21,04:00:00,05:00:00,1800,0
t23,04:00:00,05:00:00,3600,0
t27,04:00:00,05:00:00,3600,0
t29,04:00:00,05:00:00,1800,0
t33,04:00:00,05:00:00,3600,0
t35,04:00:00,05:00:00,1800,0
t38,04:00:00,05:00:00,1200,0
t41,04:00:00,05:00:00,3600,0
t43,04:00:00,05:00:00,1800,0
t55,04:00:00,05:00:00,3600,0
t57,04:00:00,05:00:00,3600,0
t59,04:00:00,05:00:00,1800,0
t63,04:00:00,05:00:00,3600,0
t65,04:00:00,05:00:00,3600,0
t67,04:00:00,05:00:00,1800,0
t69,04:00:00,05:00:00,1800,0
t73,04:00:00,05:00:00,900,0
t77,04:00:00,05:00:00,1800,0
t83,04:00:00,05:00:00,3600,0
t87,04:00:00,05:00:00,3600,0
t2,04:00:00,05:00:00,3600,0
t14,05:00:00,06:00:00,600,0
t17,05:00:00,06:00:00,3600,0
t93,05:00:00,06:00:00,1800,0
t21,05:00:00,06:00:00,900,0
t23,05:00:00,06:00:00,1200,0
t27,05:00:00,06:00:00,900,0
t29,05:00:00,06:00:00,1800,0
t33,05:00:00,06:00:00,1200,0
