shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
s17,-37.9555,-57.654952,1
s17,-37.962775,-57.645328,2
s17,-37.958134,-57.639743,3
s17,-37.954079,-57.636445,4
s17,-37.953893,-57.635801,5
s17,-37.95435,-57.633805,6
s17,-37.957818,-57.626917,7
s17,-37.958038,-57.627057,8
s2,-38.072014,-57.60326,1
s2,-38.071068,-57.604494,2
s2,-38.072521,-57.606232,3
s2,-38.073484,-57.604945,4
s2,-38.075308,-57.607155,5
s2,-38.076981,-57.605095,6
s2,-38.077977,-57.606275,7
s2,-38.079717,-57.604043,8
s2,-38.078636,-57.60282,9
s2,-38.086431,-57.592488,10
s2,-38.071339,-57.574217,11
s2,-38.070139,-57.573477,12
s2,-38.068729,-57.57337,13
s2,-38.063534,-57.573541,14
s2,-38.061853,-57.572769,15
s2,-38.060577,-57.571224,16
s2,-38.052805,-57.581577,17
s2,-38.044659,-57.571727,18
s2,-38.039177,-57.565141,19
s2,-38.027139,-57.581078,20
s2,-38.015125,-57.596984,21
s2,-38.006477,-57.608442,22
s2,-38.003011,-57.602177,23
s2,-38.001624,-57.599816,24
s2,-38.000238,-57.5984,25
s2,-37.999798,-57.596877,26
s2,-37.999003,-57.59692,27
s2,-37.999003,-57.597821,28
s2,-37.990943,-57.608331,29
s14,-37.958038,-57.627057,1
s14,-37.95778,-57.626966,2
s14,-37.964154,-57.61459,3
s14,-37.965685,-57.615824,4
s14,-37.966192,-57.614837,5
s14,-37.967783,-57.616092,6
s14,-37.969288,-57.613131,7
s14,-37.966044,-57.610529,8
s14,-37.972612,-57.597563,9
s14,-37.979919,-57.58338,10
s14,-37.980739,-57.58294,11
s14,-37.980706,-57.581674,12
s14,-37.982278,-57.578455,13
s14,-37.990959,-57.561359,14
s14,-37.995013,-57.553414,15
s14,-37.99738,-57.54864,16
s14,-37.997769,-57.548307,17
s14,-37.997761,-57.547867,18
s14,-38.00094,-57.541559,19
s14,-38.001912,-57.541859,20
s14,-38.005175,-57.544456,21
s14,-38.009241,-57.547739,22
s14,-38.011752,-57.54276,23
s14,-38.012254,-57.541771,24
s14,-38.023306,-57.55071,25
s14,-38.029884,-57.537764,26
s14,-38.038763,-57.544885,27
s14,-38.040132,-57.543082,28
s14,-38.043579,-57.547245,29
s14,-38.04581,-57.544295,30
s14,-38.045337,-57.543254,31
s14,-38.046351,-57.54187,32
s14,-38.049375,-57.541248,33
s14,-38.049908,-57.540818,34
s14,-38.050085,-57.539542,35
s29,-38.04385,-57.651787,1
s29,-38.040842,-57.648075,2
s29,-38.044052,-57.643719,3
s29,-38.042582,-57.641981,4
s29,-38.039321,-57.646294,5
s29,-38.017466,-57.619879,6
s29,-38.019478,-57.617261,7
s29,-38.018734,-57.616467,8
s29,-38.022689,-57.611275,9
s29,-38.021303,-57.609665,10
s29,-38.025597,-57.603958,11
s29,-38.022825,-57.600675,12
s29,-38.02061,-57.603528,13
s29,-38.015133,-57.597005,14
s29,-38.018058,-57.593143,15
s29,-38.010619,-57.584195,16
s29,-38.011262,-57.583337,17
s29,-38.010484,-57.582436,18
s29,-38.012351,-57.580027,19
s29,-37.990447,-57.562394,20
s29,-37.995013,-57.553414,21
s29,-37.999663,-57.544198,22
s29,-37.999189,-57.543855,23
s38,-38.014643,-57.545941,1
s38,-38.014939,-57.545335,2
s38,-38.010957,-57.542149,3
s38,-38.009934,-57.544155,4
s38,-38.006705,-57.541537,5
s38,-38.006181,-57.542095,6
s38,-38.005369,-57.542503,7
s38,-38.004059,-57.542578,8
s38,-38.003028,-57.542235,9
s38,-38.002402,-57.541787,10
s38,-38.001667,-57.541602,11
s38,-38.000272,-57.541419,12
s38,-37.998919,-57.541623,13
s38,-37.998733,-57.541988,14
s38,-37.999164,-57.542406,15
s38,-37.997592,-57.547975,16
s38,-37.99607,-57.551204,17
s38,-37.995224,-57.550539,18
s38,-37.989568,-57.561665,19
s38,-37.988815,-57.561042,20
s38,-37.98802,-57.560377,21
s38,-37.980367,-57.575494,22
s38,-37.977923,-57.573541,23
s38,-37.975648,-57.578101,24
s38,-37.975175,-57.578294,25
s38,-37.97295,-57.576631,26
s38,-37.971648,-57.57617,27
s38,-37.967588,-57.577039,28
s38,-37.966683,-57.577157,29
s38,-37.966522,-57.577511,30
s38,-37.966801,-57.577811,31
s38,-37.951753,-57.607423,32
s38,-37.948597,-57.604837,33
s38,-37.947539,-57.606854,34
s38,-37.950746,-57.609419,35
s38,-37.950991,-57.608933,36
s38,-37.95122,-57.609043,37
s98,-38.050085,-57.539542,1
s98,-38.049265,-57.539477,2
s98,-38.049367,-57.54128,3
s98,-38.046317,-57.541859,4
s98,-38.041576,-57.548232,5
s98,-38.034394,-57.557727,6
s98,-38.03376,-57.558585,7
s98,-38.031005,-57.555259,8
s98,-38.026907,-57.560635,9
s98,-38.026581,-57.56035,10
s98,-38.012885,-57.549337,11
s98,-38.014922,-57.545335,12
s98,-38.011752,-57.54276,13
s98,-38.010949,-57.542138,14
s98,-38.009951,-57.544144,15
s98,-38.006714,-57.541516,16
s98,-38.006004,-57.542245,17
s98,-38.005389,-57.542506,18
s98,-38.004803,-57.54261,19
s98,-38.004152,-57.542589,20
s98,-38.003527,-57.542412,21
s98,-38.003106,-57.541991,22
s98,-38.002675,-57.5418,23
s98,-38.000257,-57.54136,24
s98,-37.99884,-57.541677,25
s98,-37.998738,-57.541966,26
s98,-37.998894,-57.54224,27
