trip_id,arrival_time,departure_time,stop_id,stop_sequence
t17,00:00:11,00:00:11,s588,1
t17,00:00:32,00:00:32,s589,2
t17,00:00:36,00:00:36,s590,3
t17,00:00:54,00:00:54,s591,4
t17,00:00:58,00:00:58,s592,5
t17,00:01:18,00:01:18,s593,6
t17,00:01:22,00:01:22,s594,7
t17,00:01:39,00:01:39,s595,8
t17,00:01:43,00:01:43,s596,9
t17,00:02:13,00:02:13,s597,10
t17,00:02:16,00:02:16,s598,11
t17,00:02:47,00:02:47,s600,12
t17,00:02:49,00:02:49,s599,13
t17,00:04:29,00:04:29,s601,14
t17,00:08:07,00:08:07,s269,15
t17,00:08:10,00:08:10,s279,16
t2,00:00:00,00:00:00,s241,1
t2,00:01:51,00:01:51,s218,2
t2,00:02:29,00:02:29,s217,3
t2,00:02:58,00:02:58,s216,4
t2,00:03:07,00:03:07,s215,5
t2,00:03:56,00:03:56,s214,6
t2,00:04:37,00:04:37,s213,7
t2,00:06:54,00:06:54,s212,8
t2,00:07:03,00:07:03,s174,9
t2,00:09:17,00:09:17,s159,10
t2,00:09:25,00:09:25,s173,11
t2,00:10:58,00:10:58,s237,12
t2,00:12:11,00:12:11,s158,13
t2,00:12:15,00:12:15,s172,14
t2,00:13:10,00:13:10,s157,15
t2,00:13:16,00:13:16,s171,16
t2,00:13:57,00:13:57,s156,17
t2,00:14:04,00:14:04,s170,18
t2,00:14:53,00:14:53,s155,19
t2,00:14:54,00:14:54,s169,20
t2,00:15:28,00:15:28,s168,21
t2,00:15:30,00:15:30,s154,22
t2,00:15:38,00:15:38,s200,23
t2,00:15:49,00:15:49,s183,24
t2,00:16:04,00:16:04,s184,25
t2,00:16:40,00:16:40,s199,26
t2,00:16:49,00:16:49,s185,27
t2,00:17:25,00:17:25,s224,28
t2,00:17:34,00:17:34,s186,29
t2,00:17:40,00:17:40,s202,30
t2,00:17:50,00:17:50,s211,31
t2,00:18:10,00:18:10,s201,32
t2,00:18:40,00:18:40,s198,33
t2,00:18:48,00:18:48,s187,34
t2,00:19:03,00:19:03,s188,35
t2,00:19:08,00:19:08,s197,36
t2,00:19:34,00:19:34,s189,37
t2,00:19:39,00:19:39,s196,38
t2,00:20:05,00:20:05,s210,39
t2,00:20:08,00:20:08,s190,40
t2,00:20:35,00:20:35,s191,41
t2,00:20:38,00:20:38,s195,42
t2,00:21:04,00:21:04,s192,43
t2,00:21:08,00:21:08,s194,44
t2,00:21:22,00:21:22,s207,45
t2,00:21:35,00:21:35,s193,46
t2,00:22:05,00:22:05,s179,47
t2,00:22:37,00:22:37,s180,48
t2,00:25:52,00:25:52,s209,49
t2,00:26:47,00:26:47,s221,50
t2,00:29:20,00:29:20,s220,51
t2,00:30:54,00:30:54,s219,52
t2,00:31:49,00:31:49,s204,53
t2,00:32:16,00:32:16,s205,54
t2,00:32:34,00:32:34,s203,55
t2,00:32:53,00:32:53,s206,56
t2,00:34:28,00:34:28,s175,57
t2,00:34:55,00:34:55,s181,58
