stop_id,stop_name,stop_lat,stop_lon
s1,Parada BATAN,-38.000593,-57.542455
s2,Parada BATAN,-38.002626,-57.542508
s3,Parada BATAN,-38.005082,-57.544477
s4,Parada BATAN,-38.008011,-57.541382
s5,Parada BATAN,-38.009524,-57.542471
s6,Parada BATAN,-38.011101,-57.543753
s7,Parada BATAN,-38.013497,-57.544085
s8,Parada BATAN,-38.005234,-57.542449
s9,Parada BATAN,-38.002372,-57.541725
s10,Parada BATAN,-37.999541,-57.544504
s11,Parada BATAN,-37.995948,-57.552744
s12,Parada BATAN,-37.996547,-57.553007
s13,Parada BATAN,-37.997651,-57.554187
s14,Parada BATAN,-38.001472,-57.55696
s15,Parada BATAN,-37.996788,-57.547224
s16,Parada BATAN,-38.00039,-57.596093
s17,Parada BATAN,-38.001624,-57.594409
s18,Parada BATAN,-38.002952,-57.592692
s19,Parada BATAN,-38.004262,-57.59089
s20,Parada BATAN,-38.005606,-57.589077
s21,Parada BATAN,-38.006916,-57.587275
s22,Parada BATAN,-38.008514,-57.585343
s23,Parada BATAN,-38.010475,-57.582725
s24,Parada BATAN,-38.011815,-57.580976
s25,Parada BATAN,-38.017377,-57.573568
s26,Parada BATAN,-38.018489,-57.57198
s27,Parada BATAN,-38.01826,-57.571991
s28,Parada BATAN,-38.016954,-57.573687
s29,Parada BATAN,-38.014981,-57.576299
s30,Parada BATAN,-38.013654,-57.578069
s31,Parada BATAN,-38.009732,-57.583272
s32,Parada BATAN,-38.009047,-57.5842
s33,Parada BATAN,-38.006989,-57.586877
s34,Parada BATAN,-38.005589,-57.588658
s35,Parada BATAN,-38.004465,-57.590235
s36,Parada BATAN,-38.003286,-57.591706
s37,Parada BATAN,-38.001709,-57.593873
s38,Parada BATAN,-38.000407,-57.595568
s39,Parada BATAN,-37.997351,-57.548801
s40,Parada BATAN,-37.998589,-57.546349
s41,Parada BATAN,-38.007145,-57.540432
s42,Parada BATAN,-38.007922,-57.539552
s43,Parada BATAN,-38.009554,-57.540861
s44,Parada BATAN,-38.011126,-57.542117
s45,Parada BATAN,-38.013256,-57.544489
s46,Parada BATAN,-38.007001,-57.543329
s47,Parada BATAN,-37.997299,-57.553624
s48,Parada BATAN,-38.011861,-57.542782
s49,Parada BATAN,-37.99601,-57.551526
s50,Parada BATAN,-37.996251,-57.548308
s51,Parada BATAN,-37.995236,-57.550368
s52,Parada BATAN,-37.999359,-57.555452
s53,Parada BATAN,-38.001134,-57.556933
s54,Parada BATAN,-38.002685,-57.558178
s55,Parada BATAN,-38.004258,-57.559487
s56,Parada BATAN,-38.005801,-57.560704
s57,Parada BATAN,-38.007466,-57.562024
s58,Parada BATAN,-38.009017,-57.563295
s59,Parada BATAN,-38.010619,-57.564567
s60,Parada BATAN,-38.011422,-57.565232
s61,Parada BATAN,-38.013024,-57.56653
s62,Parada BATAN,-38.014558,-57.567737
s63,Parada BATAN,-38.015416,-57.568402
s64,Parada BATAN,-38.017119,-57.569802
s65,Parada BATAN,-38.018193,-57.570409
s66,Parada BATAN,-38.017424,-57.569754
s67,Parada BATAN,-38.015695,-57.56837
s68,Parada BATAN,-38.013366,-57.566493
s69,Parada BATAN,-38.011718,-57.565227
s70,Parada BATAN,-38.010966,-57.564636
s71,Parada BATAN,-38.009356,-57.56329
s72,Parada BATAN,-38.007767,-57.562051
s73,Parada BATAN,-38.006173,-57.560699
s74,Parada BATAN,-38.004563,-57.559508
s75,Parada BATAN,-38.002994,-57.558205
s76,Parada BATAN,-38.007305,-57.609612
s77,Parada BATAN,-38.006671,-57.608517
s78,Parada BATAN,-38.005023,-57.60547
s79,Parada BATAN,-38.003434,-57.602499
s80,Parada BATAN,-38.003882,-57.604097
